what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.opendecl",1525072329106
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.opendecl",1525072329520
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1525072341623
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1525072343178
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1525072348000
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1525072349102
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1525072368636
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1525072369261
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1525072386948
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1525072387532
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1525072389365
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1525072482995
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1525072487213
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1525072573933
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1525072593285
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1525072833354
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1525072854227
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1525072876192
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1525073271806
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1525073279214
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1525073302504
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1525073311049
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1525073317997
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1525073328373
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1525073329004
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.opendecl",1525073331831
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1525073388934
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1525073395614
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1525073401670
